"id_k","id_tenant","nama","status"
19,158,OPTIK PANDANARAN,0
31,159,AGUSTA,0
12,160,DYRIANA BAKERY,0
16,161,PO HOTEL SEMARANG,0
12,162,KOFITIERE,0
12,163,KOFINARY,0
12,164,"tavern group
",0
,165,DOLKOPI,0
17,166,LUCKY STRIKE BOWLING,0
12,167,MOMENT COFFEE,0
12,168,PULLENS,0
,169,MR.K STADION,0
12,170,MR.K KEDUNGMUNDU,0
,171,S2,0
12,172,BAR.B-Q&SUSH-Q,0
,173,METDUCK,0
,174,KITCHEN-8,0
12,175,DE PASTRY HOMADE,0
25,176,PT Bukit Semarang Jaya Metro,0
14,177,Parade & Run,0
,178,MR.K GOMBEL,0
16,179,HOTEL NEO CANDI SIMPANG LIMA SEMARANG,0
15,180,Bank Mandiri,0
31,181,GOODRICH GALLERY,0
16,182,GETS HOTEL,0
15,183,Bank Maybank Indonesia,0
13,184,Mall Ciputra Semarang,0
18,185,Klinik Estetika dr. Affandi,0
,186,Bank Sinarmas,0
,187,PT AJ MANULIFE INDONESIA,0
,188,PT IDENTIX PRATAMA INDONESIA,0
19,189,Optik Metro Group ,0
16,190,HOTEL KESAMBI HIJAU SEMARANG,0
31,191,PT Sumber Alfaria Trijaya,0
12,192,EXCELSO COFFEE RINJANI,0
31,193,Toko Buku Merbabu,0
31,194,Mebel Sumber Lares,0
13,195,Pollux Mall Paragon ,0
12,196,PT. Surya Citra Kencana Loka,0
31,197,Pasar Swalayan ADA Siliwangi,0
31,198,Pasar Swalayan ADA Majapahit,0
31,199,Pasar Swalayan ADA Fatmawati,0
16,200,HOTEL ROOMS INC,0
25,202,Gaia Residence Semarang,0
14,203,KB TK Daycare HAPSARI,0
,204,PEMKOT SEMARANG - APEKSI,0
24,205,PT. Gapura Angkasa,0
12,206,Legend Coffee Semarang,0
20,207,Atlanta Electronics,0
29,208,Galeri Industri Kreatif Semarang,0
29,209,New Sisterz Butik,0
12,210,Resto Pringsewu,0
32,211,Pasar Wonodri,0
,212,AtoZ,0
14,213,Semarang Great Music,0
31,214,Sempoa SIP KIBO BANYUMANIK,0
,215,Dream Mansion,0
13,216,Pasar UMKM Srondol,0
32,217,Pasar Rasamala,0
19,218,Laboratorium Klinik Prodia,0
24,219,PT KAI DAOP 4 SEMARANG,0
,220,Dinas Koperasi dan Usaha Mikro Kota Semarang,0
,221,JATENG FAIR - PRPP DEMARANG,0
34,222,Semarang Zoo,0
31,223,Djoewalan Frozen,0
28,224,PT KENCANA LAJU MANDIRI,0
12,225,Waroeng Semawis,0
12,226,Restoran simpang raya,0
12,227,Festival Kuliner,0
12,228,Homie Indonesia,0
24,229,PT Trigana Air ,0
12,230,Semarang Hitz Market,0
29,231,edy shop,0
29,232,Mandala Dev,0
24,233,Rohim Coffee,0
20,234,Test Merchant,0
12,235,Bakmie Enak,0
32,236,Pasar Peterongan,0
32,237,Pasar Wonodri,0
32,238,Pasar Pedurungan,0
32,239,pasar rasamala,0
32,240,Pasar Peterongan,0
,241,Joko Purwanto,0
,242,Widodo,0
,243,PKL Simpang Lima,0
31,244,Batik Jayakarta,0
32,245,Pasar Genuk,0
,246,Paguyuban Taman KB / Yazid Khoiruddin,0
32,247,Pasar Karangayu,0
,248,Paguyuban Taman KB / Rio,0
,249,Paguyuban Taman KB / Dhona,0
,250,Paguyuban Taman KB / Zaki,0
,251,Paguyuban Taman KB / Suryani,0
13,252,Mall Ciputra,0
,253,The Arena Mini Soccer,0
12,254,Rezikpolll,0
13,255,DP Mall Semarang,0
13,256,Java Supermall,0
12,257,Orange Brown Cafe,0
16,258,MG Suites Hotel,0
16,259,Grand Edge Hotel Semarang,0
12,260,Toko Oen Semarang,0
12,261,Rodjo Restaurant,0
16,262,Triizz Hotel Semarang by Royal Singosari,0
16,263,Hotel Horison Nindya Semarang,0
12,264,My Kopi-O! Indo Bistro,0
12,265,Excelso,0
